Gamma,Tau,LR_Actor,LR_Critic,Batch_Size,Average_Reward
1.0, 0.002, 0.0005, 0.0001, 256, -1167.1175169718376
1.0, 0.002, 0.0001, 0.0005, 256, -1167.3546880643282
0.995, 0.005, 0.001, 0.0001, 128, -1167.810441104057
0.99, 0.01, 0.001, 0.0001, 64, -1169.005184068304
1.0, 0.005, 0.001, 0.0001, 128, -1170.7030609776025
1.0, 0.002, 0.001, 0.0001, 128, -1171.200168469515
0.995, 0.01, 0.0005, 0.0001, 128, -1171.4445188231618
0.99, 0.002, 0.001, 0.0001, 256, -1172.3027750139129
1.0, 0.002, 0.001, 0.0001, 64, -1176.457425768115
0.995, 0.01, 0.0001, 0.0001, 64, -1177.1834156395173
0.99, 0.005, 0.001, 0.0001, 128, -1177.889431677684
1.0, 0.01, 0.001, 0.0001, 256, -1178.1685642309612
0.995, 0.01, 0.0005, 0.0005, 64, -1179.1451208370177
1.0, 0.01, 0.001, 0.0005, 64, -1180.7159759285826
0.995, 0.01, 0.0001, 0.0005, 64, -1181.8752805547224
1.0, 0.01, 0.0001, 0.0001, 256, -1182.1986279049543
0.995, 0.005, 0.0005, 0.0001, 128, -1185.292824844874
1.0, 0.002, 0.0005, 0.0001, 128, -1185.7814380301197
0.99, 0.005, 0.0001, 0.0001, 256, -1187.3293902703547
0.995, 0.01, 0.001, 0.0001, 256, -1187.653322202797
1.0, 0.01, 0.0005, 0.0001, 256, -1188.3764496256945
0.995, 0.005, 0.0001, 0.0001, 64, -1189.5308346227007
0.99, 0.01, 0.0005, 0.0001, 64, -1191.605489790039
1.0, 0.01, 0.001, 0.0001, 64, -1192.4508551788108
0.995, 0.005, 0.001, 0.0001, 64, -1192.9631962322983
1.0, 0.01, 0.0001, 0.0001, 64, -1193.0336995158534
0.995, 0.002, 0.001, 0.0001, 128, -1193.5006071645378
1.0, 0.005, 0.0001, 0.0001, 64, -1193.5253751622486
0.99, 0.01, 0.0001, 0.0005, 64, -1195.6010688578558
0.995, 0.002, 0.0001, 0.0001, 128, -1196.4181190215475
0.99, 0.005, 0.001, 0.0001, 64, -1196.9424738821579
0.99, 0.01, 0.0001, 0.0001, 64, -1197.7978653984137
0.995, 0.01, 0.001, 0.0001, 128, -1199.5688109876305
0.995, 0.002, 0.0005, 0.0001, 64, -1200.4556210521973
0.99, 0.01, 0.0005, 0.0005, 64, -1200.9493698829303
1.0, 0.01, 0.001, 0.0005, 128, -1201.582508188792
1.0, 0.002, 0.0001, 0.0001, 64, -1204.2285903409152
1.0, 0.01, 0.0005, 0.0001, 64, -1205.7217646460767
0.99, 0.002, 0.0005, 0.0001, 64, -1207.5092394492142
1.0, 0.005, 0.001, 0.0001, 256, -1210.1819469216962
1.0, 0.005, 0.0001, 0.0001, 128, -1210.2843430014693
1.0, 0.005, 0.001, 0.0001, 64, -1213.4821720758905
0.99, 0.005, 0.0001, 0.0001, 64, -1215.5442211329416
1.0, 0.002, 0.0001, 0.0001, 128, -1217.9756275841155
0.995, 0.005, 0.0005, 0.0001, 64, -1219.3810623203005
0.995, 0.01, 0.0005, 0.0001, 64, -1221.0231050568116
0.995, 0.002, 0.001, 0.0001, 64, -1222.572500877238
0.99, 0.01, 0.001, 0.0001, 128, -1222.7991723489495
1.0, 0.005, 0.0005, 0.0001, 64, -1232.5318354790425
0.995, 0.01, 0.001, 0.0001, 64, -1234.053062691833
0.99, 0.005, 0.0001, 0.001, 256, -1241.358502358009
0.99, 0.005, 0.0005, 0.0001, 64, -1243.608506861856
0.995, 0.002, 0.0001, 0.0001, 64, -1244.2360629264078
0.99, 0.002, 0.0001, 0.0001, 128, -1259.822336764974
0.99, 0.002, 0.001, 0.0001, 64, -1262.5168739540352
1.0, 0.01, 0.001, 0.0001, 128, -1265.4906821583397
0.99, 0.002, 0.0001, 0.0001, 64, -1303.7299419209078
